Country,Year,Production
Hungary,2021,394302.0
Hungary,2022,441729.0
Hungary,2023,507225.0
Hungary,2024,437045.0
India,2018,5174645.0
India,2019,4516017.0
India,2021,4399112.0
India,2022,5456857.0
India,2023,5851507.0
India,2024,6014691.0
Indonesia,2018,1343714.0
Indonesia,2019,1286848.0
Indonesia,2021,1121967.0
Indonesia,2022,1470146.0
Indonesia,2023,1395717.0
Indonesia,2024,1196664.0
Iran,2018,1550150.0
Iran,2019,1461244.0
Iran,2021,894298.0
Iran,2022,1064215.0
Iran,2023,1188471.0
Iran,2024,1077839.0
Italy,2018,1060068.0
Italy,2019,915305.0
Italy,2021,795856.0
Italy,2022,796324.0
Italy,2023,880085.0
Italy,2024,591067.0
Japan,2018,9728528.0
Japan,2019,9684298.0
Japan,2021,7846955.0
Japan,2022,7835519.0
Japan,2023,8997440.0
Japan,2024,8234681.0
Kazakhstan,2018,31545.0
Kazakhstan,2019,49400.0
Kazakhstan,2021,92417.0
Kazakhstan,2022,112540.0
Kazakhstan,2023,146989.0
Kazakhstan,2024,144624.0
Malaysia,2018,564800.0
Malaysia,2019,571632.0
Malaysia,2021,481651.0
Malaysia,2022,702225.0
Malaysia,2023,774600.0
Malaysia,2024,790347.0
Mexico,2018,4100770.0
Mexico,2019,3986794.0
Mexico,2021,3145653.0
Mexico,2022,3509072.0
Mexico,2023,4002047.0
Mexico,2024,4202642.0
Morocco,2018,402085.0
Morocco,2019,394652.0
Morocco,2021,403007.0
Morocco,2022,464864.0
Morocco,2023,535825.0
Morocco,2024,559645.0
Myanmar,2019,15496.0
Myanmar,2021,1957.0
Myanmar,2023,1475.0
Myanmar,2024,2711.0
Netherlands,2018,214000.0
Netherlands,2019,176113.0
Netherlands,2021,107021.0
Netherlands,2022,101670.0
Netherlands,2023,123379.0
Netherlands,2024,7403.0
North Korea,2018,3000.0
North Korea,2019,2000.0
North Korea,2021,2000.0
North Korea,2022,2000.0
Pakistan,2018,269700.0
Pakistan,2019,186751.0
Pakistan,2021,238702.0
Pakistan,2022,235454.0
Pakistan,2023,79513.0
Pakistan,2024,128449.0
Philippines,2018,79763.0
Philippines,2019,95094.0
Philippines,2021,85874.0
Philippines,2022,92223.0
Philippines,2023,110350.0
Philippines,2024,126571.0
Poland,2018,809646.0
Poland,2019,498158.0
Poland,2021,439421.0
Poland,2022,483840.0
Poland,2023,612882.0
Poland,2024,555346.0
Portugal,2018,294366.0
Portugal,2019,345704.0
Portugal,2021,289954.0
Portugal,2022,322404.0
Portugal,2023,318231.0
Portugal,2024,332546.0
Romania,2018,476769.0
Romania,2019,490412.0
Romania,2021,420755.0
Romania,2022,509465.0
Romania,2023,513050.0
Romania,2024,560102.0
Romania,2025,545510.0
Russia,2018,1767674.0
Russia,2019,1719784.0
Russia,2021,1566317.0
Russia,2022,608060.0
Russia,2023,729864.0
Russia,2024,982665.0
Serbia,2018,56449.0
Serbia,2019,35115.0
Serbia,2021,21263.0
Serbia,2022,4498.0
Serbia,2023,186.0
Slovakia,2018,1090000.0
Slovakia,2019,1107902.0
Slovakia,2021,1000000.0
Slovakia,2022,1000000.0
Slovakia,2023,1080000.0
Slovakia,2024,993000.0
Slovakia,2025,1070000.0
Slovenia,2018,209378.0
Slovenia,2019,199102.0
Slovenia,2021,95797.0
Slovenia,2022,68130.0
Slovenia,2023,60881.0
Slovenia,2024,60903.0
South Africa,2018,610854.0
South Africa,2019,631983.0
South Africa,2021,499087.0
South Africa,2022,555889.0
South Africa,2023,633337.0
South Africa,2024,599755.0
South Korea,2018,4028834.0
South Korea,2019,3950617.0
South Korea,2021,3462404.0
South Korea,2022,3757049.0
South Korea,2023,4244000.0
South Korea,2024,4127252.0
Spain,2018,2819565.0
Spain,2019,2822355.0
Spain,2021,2098133.0
Spain,2022,2219462.0
Spain,2023,2451221.0
Spain,2024,2376504.0
Sweden,2018,279000.0
Sweden,2019,249000.0
Sweden,2021,257446.0
Sweden,2022,238955.0
Sweden,2023,276750.0
Sweden,2024,268487.0
Taiwan,2018,253241.0
Taiwan,2019,251304.0
Taiwan,2021,265320.0
Taiwan,2022,261263.0
Taiwan,2023,285962.0
Taiwan,2024,275156.0
Thailand,2018,2167694.0
Thailand,2019,2013710.0
Thailand,2021,1685705.0
Thailand,2022,1883515.0
Thailand,2023,1841663.0
Thailand,2024,1468997.0
Tunisia,2018,2000.0
Turkey,2018,1095526.0
Turkey,2019,821060.0
Turkey,2021,1276140.0
Turkey,2022,1352648.0
Turkey,2023,1468393.0
Turkey,2024,1365296.0
Ukraine,2018,6623.0
Ukraine,2019,7266.0
Ukraine,2021,8153.0
Ukraine,2022,1490.0
Ukraine,2023,1993.0
United Kingdom,2018,1604328.0
United Kingdom,2019,1381405.0
United Kingdom,2021,932488.0
United Kingdom,2022,876614.0
United Kingdom,2023,1025474.0
United Kingdom,2024,905233.0
United States,2018,11314705.0
United States,2019,10880019.0
United States,2021,9167214.0
United States,2022,10060339.0
United States,2023,10611555.0
United States,2024,10562188.0
Uzbekistan,2018,220667.0
Uzbekistan,2019,271113.0
Uzbekistan,2021,241649.0
Uzbekistan,2022,333569.0
Uzbekistan,2023,425876.0
Uzbekistan,2024,429364.0
Venezuela,2018,1774.0
Vietnam,2018,237000.0
Vietnam,2019,250000.0
Vietnam,2021,163250.0
Vietnam,2022,232410.0
Vietnam,2023,177435.0
Vietnam,2024,175661.0
World,2018,95634593.0
World,2019,91786861.0
World,2021,80145988.0
World,2022,85016728.0
World,2023,93546599.0
World,2024,92504338.0
